Hotel_Name,Hotel_Address,lat,lng,Reviewer_Score
Banks Mansion All Inclusive Hotel,Herengracht 519 525 Amsterdam City Center 1017 BV Amsterdam Netherlands,52.365386799999996,4.8931979000000005,9.364589235127465
Barcel Milan,Via Giorgio Stephenson 55 20157 Milan Italy,45.511520000000004,9.124130599999999,7.718454935622314
Barcel Raval,Rambla del Raval 17 21 Ciutat Vella 08001 Barcelona Spain,41.379012599999996,2.1696339,8.511594202898555
Barcel Sants,Plaza Paisos Catalans s n Sants Montju c 08014 Barcelona Spain,41.3798964,2.1412432999999997,8.602870813397166
Barcelona Hotel Colonial,Via Layetana 3 Ciutat Vella 08003 Barcelona Spain,41.3822909,2.1807447,7.764814814814816
Barcelona Princess,Avenida Diagonal 1 Sant Mart 08019 Barcelona Spain,41.4109715,2.2186535,8.219286510590882
Bassano,15 Rue de Bassano 16th arr 75016 Paris France,48.8690596,2.2971077999999996,8.130999999999997
Batty Langley s,12 Folgate Street City of London London E1 6BX United Kingdom,51.5208575,-0.0779503,9.411014492753607
Bcn Urban Hotels Gran Rosellon,Rosell n 174 176 Eixample 08036 Barcelona Spain,41.4226648,2.1464261000000002,8.627889447236182
Belfast,10 avenue Carnot 17th arr 75017 Paris France,48.8756435,2.2938788,7.752325581395348
Bentley London,27 33 Harrington Gardens Kensington and Chelsea London SW7 4JX United Kingdom,51.492814700000004,-0.1841753,8.401515151515145
Bermondsey Square Hotel A Bespoke Hotel,Tower Bridge Road Southwark London SE1 3UN United Kingdom,51.4991134,-0.0790969,8.313032581453633
Best Western Allegro Nation,33 Avenue Du Docteur Arnold Netter 12th arr 75012 Paris France,48.8430891,2.4049867000000003,7.064864864864864
Best Western Amiral Hotel,98 Avenue d Italie 13th arr 75013 Paris France,48.825230700000006,2.3569005,7.299159663865546
Best Western Antares Hotel Concorde,Viale Monza 132 Distretto Viale Monza 20127 Milan Italy,45.502453,9.2218364,8.15798319327731
Best Western Atlantic Hotel,Via Napo Torriani 24 Central Station 20124 Milan Italy,45.4830211,9.2033246,8.356862745098034
Best Western Aulivia Op ra,4 Rue des Petites Ecuries 10th arr 75010 Paris France,48.8730552,2.3540112,7.844000000000001
Best Western Blue Tower Hotel,Leeuwendalersweg 21 Bos en Lommer 1055 JE Amsterdam Netherlands,52.379365899999996,4.8457179,7.3307692307692545
Best Western Bretagne Montparnasse,33 rue Raymond Losserand 14th arr 75014 Paris France,48.835431400000004,2.321142,7.674468085106377
Best Western Delphi Hotel,Apollolaan 101 105 Oud Zuid 1077 AN Amsterdam Netherlands,52.3504558,4.8770194,7.59875
Best Western Ducs de Bourgogne,19 Rue Du Pont Neuf 1st arr 75001 Paris France,48.8603483,2.3440535,7.473943661971829
Best Western Hotel Ascot,Via Lentasio 3 Milan City Center 20122 Milan Italy,45.4580137,9.1913676,7.552542372881356
Best Western Hotel Astoria,Viale Murillo 9 Fiera Milano City 20149 Milan Italy,45.4725167,9.1439198,8.462162162162162
Best Western Hotel City,Corso Buenos Aires 42 5 Central Station 20124 Milan Italy,45.485887700000006,9.204282699999998,8.528323699421964
Best Western Hotel Major,Viale Isonzo 2 Porta Romana 20135 Milan Italy,45.4472099,9.209096699999998,8.106849315068496
Best Western Hotel Mirage,Viale Certosa 104 106 Certosa 20156 Milan Italy,45.494712899999996,9.1418864,8.450602409638556
Best Western Hotel Montmartre Sacr Coeur,66 Boulevard Barb s 18th arr 75018 Paris France,48.888539,2.3498459,7.036842105263152
Best Western Hotel Pension Arenberg Wien Zentrum,Stubenring 2 01 Innere Stadt 1010 Vienna Austria,48.210735799999995,16.382147,7.320603015075371
Best Western Hotel St George,Viale Tunisia 9 Central Station 20124 Milan Italy,45.477090600000004,9.2054208,8.072893772893769
Best Western Le 18 Paris,51 rue Letort 18th arr 75018 Paris France,48.8966167,2.3434842999999996,7.429069767441861
Best Western Le Jardin de Cluny,9 Rue du Sommerard 5th arr 75005 Paris France,48.8497553,2.3467616000000002,8.747499999999999
Best Western Madison Hotel,Via Privata Leopoldo Gasparotto 8 Central Station 20124 Milan Italy,45.4881471,9.2016609,8.494680851063839
Best Western Maitrise Hotel Edgware Road,346 348 Edgware Road Westminster Borough London W2 1EA United Kingdom,51.521148,-0.171346,6.374999999999998
Best Western Mercedes Arc de Triomphe,128 avenue de Wagram 17th arr 75017 Paris France,48.8848292,2.3035189,8.000000000000002
Best Western Mornington Hotel Hyde Park,12 Lancaster Gate Lancaster Gate Westminster Borough London W2 3LG United Kingdom,51.51199329999999,-0.17827939999999998,7.979004854368965
Best Western Nouvel Orl ans Montparnasse,25 avenue du General Leclerc 14th arr 75014 Paris France,48.8309896,2.3297301,8.045977011494244
Best Western Op ra Batignolles,165 rue de Rome 17th arr 75017 Paris France,48.887057299999995,2.3143297,7.669306930693071
Best Western PLUS Epping Forest,Epping Forest 30 Oak Hill London IG8 9NY United Kingdom,51.603207,0.010607,7.3045731707317065
Best Western Palm Hotel,64 76 Hendon Way London NW2 2NL United Kingdom,51.5634756,-0.20427579999999998,7.909799789251874
