Reviewer_Nationality,lat,lng,Reviewer_Score
 ,45.4699058,9.1925024,10.0
 ,45.470532,9.193019999999999,8.8
 ,45.4720654,9.0777871,6.050000000000001
 ,45.476916700000004,9.196665,8.3
 ,45.477762299999995,9.203169,8.3
 ,45.481342299999994,9.2039494,9.2
 ,45.4828787,9.186346,8.8
 ,45.4829817,9.2041911,9.6
 ,45.483413299999995,9.1666361,10.0
 ,45.484237,9.198858,9.2
 ,45.4845769,9.206525599999999,9.6
 ,45.4852549,9.206950099999998,10.0
 ,45.4853717,9.2115837,10.0
 ,45.485887700000006,9.204282699999998,8.3
 ,45.4868744,9.2018407,10.0
 ,45.4868745,9.2018406,7.9
 ,45.490958500000005,9.161426800000001,7.5
 ,45.4984161,9.1904375,7.1
 ,45.5000245,9.1428722,8.3
 ,45.501946000000004,9.227756900000001,5.4
 ,45.5045259,9.246461,10.0
 ,45.5257221,9.215003300000001,7.475
 ,45.5266395,9.2131549,9.2
 ,45.533137200000006,9.1711019,7.840000000000001
 ,48.1629737,16.340402400000002,6.0
 ,48.1756283,16.4200957,10.0
 ,48.1824271,16.3808291,10.0
 ,48.185431200000004,16.404884,8.35
 ,48.1866506,16.3023375,9.2
 ,48.19192879999999,16.339139499999998,8.15
 ,48.19255820000001,16.3576071,6.7
 ,48.19504439999999,16.3844751,10.0
 ,48.1953229,16.367288199999997,8.3
 ,48.1996129,16.3773546,9.2
 ,48.200561,16.364706299999998,10.0
 ,48.202729600000005,16.3661211,4.2
 ,48.2037451,16.3356767,7.5
 ,48.206226799999996,16.3833767,9.2
 ,48.2064745,16.3546297,7.5
 ,48.2072348,16.372238,7.9
 ,48.2085627,16.3541687,7.9
 ,48.210285,16.373579,10.0
 ,48.219942700000004,16.3598984,10.0
 ,48.2273013,16.4001791,5.0
 ,48.2340799,16.421009299999998,6.050000000000001
 ,48.2353789,16.4219737,7.5
 ,48.8237487,2.324056,7.5
 ,48.825230700000006,2.3569005,7.5
 ,48.8303023,2.2842872000000005,10.0
 ,48.8327729,2.2787597,8.15
 ,48.8381079,2.318669,7.9
 ,48.838291600000005,2.3230188,4.2
 ,48.838294299999994,2.3210421,5.65
 ,48.8393229,2.3892274,9.0
 ,48.8399018,2.3031011,6.7
 ,48.8430523,2.3422519,8.3
 ,48.8478399,2.342254,7.5
 ,48.8503276,2.2982022,8.8
 ,48.8506499,2.2750873,7.1
 ,48.8516619,2.2979395,9.2
 ,48.8534026,2.3299043,10.0
 ,48.8555664,2.2926243,9.6
 ,48.8585193,2.3077243,10.0
 ,48.8610265,2.3788974,5.0
 ,48.863082899999995,2.3378592,9.6
 ,48.8642689,2.3308179,7.5
 ,48.864462700000004,2.3318472999999997,8.8
